lon,lat
-31.8822223646,-52.5171856894
48.4080439995,2.6771442365
14.3569107738,122.3532044456
50.8639883207,-114.6929785117
35.120191075,136.7866239477
15.2426198384,120.5957347144
42.4660987519,-83.7576620682
-8.6841277006,115.4183478221
-32.194149208,-57.9945523821
9.8979810062,-73.0398224431
37.1904525198,125.6611194355
25.0618017607,-79.9651221276
35.8663845056,-80.5172889817
33.8468084496,-117.9115098446
35.1775761822,-78.446850196
28.978322116,10.8874604553
-3.6557390212,119.0500364173
-34.7494924025,-56.2250434328
-34.5940559676,-58.560052845
-39.9401323118,-63.0023617156
-23.5850479503,-46.674042006
38.5886394046,36.23211101
59.2389210688,26.7447552763
-9.5426451247,-36.3402574301
51.0010109338,105.3462451978
20.6278375183,39.8350701255
-2.6470510199,37.1973957289
20.8716529083,95.5746804526
-38.7038402285,-114.7802694328
-7.0831438155,-78.8011065304
44.6752483045,-74.768950465
43.2236960742,-1.5084191502
38.3304831694,26.6354601194
3.0045965295,101.7555475991
48.9733315943,0.6232875015
38.1150128023,-121.8253388488
40.8651557384,-73.8752672463
46.7946161126,-122.3065988656
16.7178510371,-88.540647439
52.400803663,5.3844930475
-22.9610578385,-41.5781901693
4.9897957645,103.1004737992
50.1216926752,8.0229309066
8.3462253026,99.084457962
25.9443809657,-99.9157906442
47.5722405595,37.0524788165
-2.7590981159,104.3644945856
-5.4059646136,105.060195349
36.7900761805,-5.0526908142
-19.6487759636,-40.2211985819
53.9405618432,47.7653455021
-31.5750684244,-64.3209782016
-29.385032386,-60.4690192215
10.4634925969,123.4272128311
33.5592666922,-87.1619639215
-34.898180532,-58.0477486571
39.076433699,31.9035357128
12.6963178377,145.7616891418
35.1311119361,138.4631990598
45.9471370762,-87.8325229758
21.0343522547,-102.8927507373
45.4012188002,-93.5202743737
-7.5061153553,110.4055840737
3.8121863249,98.1891236635
29.637711187,-98.1985252124
61.7693375885,-149.0271125026
9.6463127862,-83.4314956203
29.887632413,-95.2979648957
39.4960124197,-82.6230212343
-30.1354945175,-56.7708538489
38.2651141758,-114.3523751039
51.8267437089,-1.7301847114
33.6618642292,-93.219436767
65.8162596513,37.4376003135
-38.9895263714,-69.9695691592
38.0822880943,140.3384735717
34.645455439,134.9827376567
4.3608108335,-74.5127525462
44.9086106114,9.004478257
49.280147403,20.9064335092
51.2084644197,-3.7888216426
5.0507777966,115.8399468609
-35.7072316778,-64.7322682277
25.0810693719,48.7412966504
33.5726224316,-84.4358274243
-1.0969903147,-60.5861092323
62.270246607,129.3201614213
-33.0360502532,-70.3806286426
41.6235575139,-96.6433273944
41.9930040038,-87.9157827891
32.3668592038,35.6185576781
17.1077376901,120.9547853578
-22.8264840009,-43.4085688387
-34.5803605143,152.7013572356
47.2583593713,-1.1768921397
-50.9765385091,-68.8395875147
-29.7774484382,-51.020789563
-26.9339938323,-54.1633204987
-22.6970328765,-45.7172361092
45.5173744533,132.3784742826
38.7760054557,-90.1254964068
29.6490189894,47.9816375523
43.1754549879,141.8803731767
-15.6630726856,-48.150167377
26.682222739,-15.7793887015
-11.4441658513,-68.6958700531
-4.3676603115,-38.2215993657
-30.4962277615,-54.3298100234
40.3977146871,1.2799139716
51.5936823262,0.0030399523
35.692668759,139.6640935281
50.3051425753,-99.3300959884
19.4583475428,-98.8621517519
38.8154254971,-84.8510144118
-21.9384048955,-49.2987297696
29.5380710477,30.7789090297
29.3525910708,-85.6879480466
33.1947097592,-104.4729677474
32.3324613085,130.2970100366
12.8485843837,78.4248014497
35.1465510397,-89.9225228721
