"Cluster","TimeID","lon","lat"
390,6519,10.5857644738292,123.453915891888
29,6518,36.7127529030668,-76.2630963034781
496,6517,34.1985625053696,-118.443978335716
27,6515,14.5775796702768,121.036573819367
49,6514,45.131630252722,9.1312922395394
286,6513,52.4547861214289,13.1864607319743
411,6512,14.3207046567054,121.020672728811
107,6511,22.9378045758881,53.1110013079337
225,6507,53.048182379123,-113.342169431562
116,6501,36.6990617963752,-119.722318634126
226,6500,54.9592318973881,-1.47244400426401
43,6499,8.19456446396176,124.102638275969
232,6498,48.7770996840022,2.38291780224606
180,6497,15.1170584923103,120.581261033348
5,6496,24.9841584511627,55.4938900204051
172,6491,14.774362797771,121.021403303704
495,6490,18.1478992271183,103.414039765982
52,6485,33.9646116391995,-118.118720138834
296,6484,41.7306204479239,-87.9032126345015
250,6483,47.5050129902545,-122.250590322652
376,6482,37.2890950946187,126.987453078994
318,6477,49.8920931931551,-123.506401943573
142,6465,14.3220649256914,122.385804792541
234,6462,32.0091347601182,35.8200458772197
46,6449,13.3523921401024,123.523701406347
392,6448,13.7884598643142,121.292624078926
275,6444,25.8210729450154,50.632460404142
293,6443,26.0179869554041,-80.378721633273
61,6442,37.8401073719582,-122.338455810488
453,6441,7.09306203266934,125.447375783307
45,6435,22.6469132238192,113.777462813738
365,6426,2.28524718791584,102.361850679691
101,6422,1.37282528850352,103.83369487207
41,6421,29.3370244072394,47.8764756160475
131,6416,33.1358374079281,-111.733514893759
20,6413,35.6836488390712,139.731765708383
34,6411,25.9587100837038,121.134005227009
377,6409,7.11674745747331,8.84151369141271
189,6406,38.2073927431229,-121.343096687839
149,6398,39.6359860940151,-119.627641544905
4,6388,17.7918261506689,121.105364126678
66,6377,21.0095718116441,43.3864975036211
469,6364,-34.1186308718769,148.622369316822
165,6354,40.7344658601107,-74.0261314974934
269,6341,58.9249437123539,24.4033539976302
183,6337,3.17071746906474,101.700061797376
373,6332,41.4744657590028,21.9094178912892
220,6312,33.0152132776393,-117.154642902602
108,6307,61.9866644732111,-149.981058337112
128,6274,27.2145699372903,42.6555613200541
90,6263,16.2341506160728,120.67350096319
113,6246,24.6718952744931,46.6343505755542
423,6239,36.1454308434492,-115.053378994286
193,6227,34.6756199867438,-120.351390286969
326,6217,34.9092587958815,136.498894079081
398,6211,18.4398746599176,79.891130238762
155,6200,72.4808711036056,-74.122042437749
350,6177,42.3907379083392,12.1521199137618
85,6167,33.8717170237206,-118.435347940066
330,6157,3.09328303240198,101.51534296754
130,6064,35.4600126438026,-119.015902826584
324,6060,-38.8484029956108,174.089195557145
156,6049,57.7179037842691,11.2853182789743
497,6032,15.9605827206365,103.649691117706
457,6009,2.65357832921582,101.965424190763
146,6002,35.1862792139228,136.922673428096
10,5990,51.4537300565691,-0.129693516139481
451,5927,37.1939623336483,-121.840975274846
148,5883,4.01728422915583,103.312073426944
7,5870,9.99013275868131,118.857574549951
141,5867,23.1451458241145,58.2414124435065
16,5782,34.0625262895676,-123.286104894432
36,5781,13.8118481477506,100.552749919651
135,5766,21.9185283866562,39.4194005922737
338,5746,32.4397418595567,-81.3336402121409
89,5710,50.6797005926911,3.71582924457044
14,5668,36.924198480579,23.1526878371957
420,5638,39.6447344678609,-121.93854888772
388,5568,34.0560300815027,-117.532360474641
313,5490,28.4379317705693,-81.8424812834694
245,5431,0.930605829260753,110.328043393639
261,5429,33.7597340722034,-117.146291234211
427,5425,35.0932723737945,-78.6318967532368
164,5364,-32.4331340608987,116.210194117829
228,5363,33.626707315862,-84.3813984619034
479,5350,45.4974568141316,-122.703944870482
6,5315,52.7603413276026,-8.83829721672395
258,5303,34.215064143152,-119.167048607696
498,5270,35.6552300891852,139.388805961738
374,5247,41.5384139876944,-81.7681375246693
218,5200,41.0431279134186,-116.228758413665
331,5188,42.3590648750519,-70.9792722645173
154,5158,33.7665671579433,-117.858089814477
395,5137,5.08528383083404,115.797915388923
75,5032,39.4360793933191,-76.6056807140482
176,4998,43.7092018924166,-79.5149826117212
17,4712,38.4561986682895,-116.123281432191
177,4686,21.4664461303762,-158.388351371098
59,4667,35.9785745368825,139.579380459756
280,4659,51.7655092960095,1.1072798707608
429,4654,52.1537334259267,8.16785039347741
486,4649,35.8287431542817,140.017071749814
103,4615,32.5795308686619,-117.050562452455
178,4587,10.899917335522,106.365685339296
67,4580,45.2052697772286,-93.2851153476081
345,4526,33.4218605580231,130.221250883676
301,4520,36.1848879397767,-95.11715063737
476,4506,56.0840918363125,37.8505461127845
175,4476,38.780445593048,-9.10342974297977
229,4472,18.4841190909292,-67.5688676905713
23,4441,-16.6613486277422,141.213784604186
292,4422,40.826798765609,29.3008083032669
35,4392,43.8200975677951,143.438254757018
276,4389,53.7737036016066,-6.30330808161985
307,4249,8.30685847612724,99.0247563234008
105,4242,4.51222504706438,101.037574018347
443,4179,41.6670266753669,-123.074815429662
78,4178,49.4823974793453,-98.4821226361275
125,4156,33.6816612501013,131.205055165021
231,4040,40.4291266441745,-3.73507999682148
404,3905,56.4419516728083,-3.74591214277048
243,3692,34.7350735535846,-117.238391624293
54,3652,60.3144610850342,17.3922258352111
470,3587,36.5550455450523,139.894814342903
412,3564,33.807427728357,-116.258207606382
147,3553,41.4983904613094,2.12150160276451
366,3543,2.93067659743501,101.740115532293
356,3531,-6.16449527058428,106.745813859574
68,3514,52.1087313803389,5.14587987179593
136,3478,29.7727850859384,28.9723915578114
466,3474,41.8926313143379,-92.0676921902822
198,3435,39.5286641627454,15.0700593965027
455,3347,29.7352848629727,31.6180173076234
80,3303,29.414994566275,-98.5701426434839
277,3222,34.8398456370423,-81.2332728603905
351,3135,46.6152161990612,-84.1236696486747
287,3026,51.1907570584205,31.0332786678841
31,2964,44.8769589095164,5.7199311196528
143,2896,36.9097870068271,-4.29428289510971
