lon,lat
13.820992367,121.3556580734
51.7731284362,4.8884578664
-6.9810348516,108.0065277266
38.3198210925,26.5185756373
-19.3973550698,-48.5728414833
31.983941922,-86.7853629009
49.4486184024,-98.4348734456
37.2135251026,30.1121724627
27.1536727871,-109.8101649982
-7.8051570292,-35.2868229305
-33.8000542276,18.3689859992
39.9459775104,13.3765016
-31.7850074754,-64.3625151234
61.7659809814,-149.0427210417
-23.3524102261,57.7277279763
-32.5907007282,-57.9425357607
37.2489718803,-89.5725645073
-24.8685722341,-155.3879349199
53.8362710903,27.8741973876
7.3348434805,6.8897453032
32.8397467467,-96.9037544512
10.2377153143,-83.4311411268
-21.0602158742,-54.8556420013
-38.3863888184,-60.6105388329
-22.8312486878,-43.2854658748
42.5464682038,-83.854356423
36.2808906857,-97.4147457209
45.0408693465,-92.607921518
37.9698481852,-8.6345901436
52.8842982801,-113.507973843
-22.857944478,-45.4846709763
15.9925672485,103.4243189098
36.8824974254,138.971606253
40.6116935344,-74.302859558
35.2689212318,-80.0441578478
38.625807042,-94.4892083563
51.638657514,20.6974807588
-1.5607668926,-48.1788731336
9.4233926365,-65.1312668209
43.9834634441,20.03796414
13.7451220422,100.5655103218
33.3592137698,-101.7845700518
40.0545518093,48.7621079142
4.9349531376,103.0594614943
-2.8893347175,104.3763613594
-20.477410051,-40.198114979
44.4391151261,-74.7159888789
45.5064833953,132.5300547517
42.0210702445,-88.1162017194
43.1911471776,141.8917396146
29.8606946286,-98.2105479671
21.0334086707,39.7802244438
-12.660658546,-38.687690314
-26.1078395546,27.9407159328
-22.2966163592,-47.7687663226
50.7413659939,-3.0306838974
33.9384847515,-117.5822677568
9.9716412193,118.8316669335
56.3307582427,-3.6692718798
-0.8954202118,127.315315972
40.9270867433,28.8639415573
-15.7109133385,-48.1889200079
3.477896862,98.6890270717
60.5463249982,30.2371516645
39.1378302478,-85.356488923
34.6276432911,135.3419460442
53.3951711149,92.6680505491
-1.0613232864,-60.5502185034
30.4225876309,-90.5842112423
28.2888844439,-81.8224410441
-23.6383413212,-46.6162526858
53.9100463676,162.8131340003
53.457352045,-1.8991749204
31.9318495531,36.0799822926
