"Cluster","TimeID","lon","lat"
430,5499,25.6607882938677,-100.338447129202
317,5498,28.689942022909,-111.177825405678
61,5497,37.8401073719582,-122.338455810488
250,5496,47.5050129902545,-122.250590322652
314,5495,50.9952887856302,-1.43749373209498
410,5494,40.9440669643172,-111.637879973442
143,5492,36.9097870068271,-4.29428289510971
491,5491,48.8260202247987,7.68589309642234
64,5490,35.8385488406866,-86.6404575448434
411,5488,14.3207046567054,121.020672728811
157,5487,34.392313683152,-102.064659550931
212,5486,36.5822526087889,-6.23509746469366
10,5485,51.4537300565691,-0.129693516139481
147,5484,41.4983904613094,2.12150160276451
400,5483,39.0914096104978,-0.327211597736549
31,5482,44.8769589095164,5.7199311196528
390,5480,10.5857644738292,123.453915891888
353,5477,-2.39574948767208,37.4673257998004
437,5476,39.9236891415502,-75.087051646679
36,5474,13.8118481477506,100.552749919651
319,5473,31.6772793749719,73.1741163801852
473,5472,-20.1640736303324,-40.185876233211
231,5471,40.4291266441745,-3.73507999682148
165,5469,40.7344658601107,-74.0261314974934
496,5468,34.1985625053696,-118.443978335716
401,5467,-22.9016614460211,-43.6863792186047
313,5466,28.4379317705693,-81.8424812834694
293,5465,26.0179869554041,-80.378721633273
431,5464,30.4340494259671,-89.9975260698322
29,5463,36.7127529030668,-76.2630963034781
60,5462,-26.7671523265,-48.9971318238805
227,5461,30.3120894114103,-91.3857237225429
256,5460,41.0881588415663,-73.248853139698
291,5459,-2.73278239324388,-59.7004252173588
131,5458,33.1358374079281,-111.733514893759
162,5457,-31.3262120198497,-64.2078484631529
316,5456,-23.4688847073282,-46.536733105595
450,5455,-34.9556624976063,-57.9780499494827
221,5454,-31.3335894300805,-60.918416830156
369,5453,35.4423007619709,-111.28269301036
116,5452,36.6990617963752,-119.722318634126
449,5451,35.8566980673726,-83.4973692590932
220,5450,33.0152132776393,-117.154642902602
133,5446,-34.6599208356429,-58.4195728590907
341,5442,41.3743304403623,-84.0763675294199
215,5440,-4.96640350382765,-72.6807128757716
380,5438,-32.9834143340495,-60.6364769837399
230,5434,19.3125463905229,-99.0517134281515
251,5433,28.138024265303,-100.672683151141
433,5431,40.2340275076029,-80.0705914514891
277,5429,34.8398456370423,-81.2332728603905
469,5428,-34.1186308718769,148.622369316822
1,5419,10.7654583256619,-74.713827464838
191,5416,-34.6751704630734,-56.1079908013972
112,5415,-23.8674185545219,-46.4382316944128
266,5412,32.8134004169211,-97.1110260995378
279,5411,-26.908464472636,28.4186617829578
32,5408,-19.9299016128521,-44.0029339849752
493,5405,32.9896336377527,-96.5914268628551
360,5404,-33.1677279664688,-71.0756630208869
352,5401,-30.0181845810519,-51.1298716161387
93,5396,-22.8693771981739,-43.1075202799839
24,5394,-3.51220836504409,-38.286877561259
51,5390,40.0189746298715,-82.9325459628897
122,5389,-34.5876044364503,-58.7115331961039
295,5387,-8.03095815030608,-49.0310822123389
85,5384,33.8717170237206,-118.435347940066
334,5383,-22.9118847783237,-47.3230486823408
423,5381,36.1454308434492,-115.053378994286
305,5380,-22.7761614453639,-43.4223000057392
439,5378,30.1485356039555,-93.701168117387
114,5375,-9.8099324112145,-66.3086887919629
445,5371,-23.0107124726466,-43.3539433616907
479,5370,45.4974568141316,-122.703944870482
48,5364,-12.4071449273061,-38.2286897100246
242,5362,-7.79828533713011,-35.2672646922766
485,5360,19.2312617677238,99.3562185123691
224,5359,41.5368064198865,-80.3466135611704
223,5358,38.0384204660976,-86.3297687697397
47,5355,-34.054553878201,-59.1933078512901
110,5342,35.0136649391786,135.780003734669
270,5341,36.2783862763733,-97.4165788420846
176,5335,43.7092018924166,-79.5149826117212
146,5334,35.1862792139228,136.922673428096
232,5329,48.7770996840022,2.38291780224606
18,5328,-14.8925854348269,-40.4246149682596
189,5320,38.2073927431229,-121.343096687839
255,5319,-26.8028096468324,-65.477977478611
127,5318,45.678734522382,-72.7078131864513
301,5316,36.1848879397767,-95.11715063737
27,5314,14.5775796702768,121.036573819367
63,5308,-33.5344240691263,-65.2369057347678
419,5306,-19.1993979571246,-70.8560341692034
103,5305,32.5795308686619,-117.050562452455
167,5303,-23.7067485428668,-46.7999987845722
402,5300,-21.7349932211261,-49.995293520487
